A 313 200 000 UI POUR CENT, pommade
ATROVENT 0,50 mg/1 ml ADULTES, solution pour inhalation par nébuliseur en récipient unidose
ATROVENT 20 microgrammes/dose, solution pour inhalation en flacon pressurisé
ATROVENT ADULTES 0,5 mg/2 ml, solution pour inhalation par nébuliseur en récipient unidose
ATROVENT ENFANTS 0,25 mg/2 ml, solution pour inhalation par nébuliseur en récipient unidose
ATROVENT NASAL 0,03 POUR CENT, solution nasale en flacon pulvérisateur
ATURGYL 0,05 POUR CENT, solution pour pulvérisation nasale
ATUXANE, sirop
AUBAGIO 14 mg, comprimé pelliculé
AUBELINE ARKOGELULES, gélule
AUGMENTIN 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (Rapport amoxicilline/acide clavulanique : 8/1)
AUGMENTIN 1 g/200 mg, poudre et solvant pour solution injectable / pour perfusion (I.V.)
AUGMENTIN 1 g/200 mg, poudre pour solution injectable/pour perfusion (IV)
AUGMENTIN 100 mg/12,50 mg par ml ENFANTS, poudre pour suspension buvable en flacon (Rapport amoxicilline/acide clavulanique : 8/1)
AUGMENTIN 100 mg/12,50 mg par ml NOURRISSONS, poudre pour suspension buvable (Rapport amoxicilline/acide clavulanique : 8/1)
AUGMENTIN 2 g/200 mg ADULTES, poudre pour solution pour perfusion
AUGMENTIN 250 mg/31,25 mg NOURRISSONS, poudre pour suspension buvable en sachet-dose (Rapport amoxicilline/acide clavulanique : 8/1)
AUGMENTIN 500 mg/50 mg, poudre pour solution injectable/pour perfusion (IV)
AUGMENTIN 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1)
AUGMENTIN 500 mg/62,5 mg ENFANTS, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)
AUREOMYCINE BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
AUREOMYCINE EVANS 1 POUR CENT, pommade ophtalmique
AUREOMYCINE EVANS 3 POUR CENT, pommade
AUREOMYCINE MONOT 3 POUR CENT, pommade
AURICULARUM, poudre et solvant pour suspension pour instillation auriculaire
AURIGOUTTE, gouttes auriculaires
AURUM IODATUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH
AURUM METALLICUM BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
AURUM METALLICUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
AURUM METALLICUM WELEDA, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
AURUM MURIATICUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH
AURUM MURIATICUM LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH
AURUM MURIATICUM NATRONATUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
AURUM MURIATICUM NATRONATUM LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
AURUM MURIATICUM NATRONATUM WELEDA, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
AUXITRANS 5 g, poudre pour solution buvable en sachet-dose
AVADENE 1 mg/0,025 mg, comprimé pelliculé
AVAMYS 27,5 microgrammes/pulvérisation, suspension pour pulvérisation nasale
AVASTIN 25 mg/ml, solution à diluer pour perfusion
AVAXIM 160 U, suspension injectable en seringue préremplie. Vaccin de l'hépatite A (inactivé, adsorbé)
AVAXIM 80 U PEDIATRIQUE, suspension injectable en seringue préremplie. Vaccin de l'hépatite A (inactivé, adsorbé)
AVENA SATIVA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
AVENA SATIVA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
AVENA SATIVA TEINTURE MERE BOIRON, liquide oral
AVENA SATIVA TEINTURE MERE WELEDA, solution buvable en gouttes
AVENA SATIVA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
AVIBON 1 000 000 U.I. POUR CENT, pommade
AVLOCARDYL 40 mg, comprimé sécable
AVLOCARDYL L.P. 160 mg, gélule à libération prolongée
AVODART 0,5 mg, capsule molle
AVODART 0,5 mg, capsule molle
AVONEX 30 microgrammes/0,5 ml, solution injectable
AVONEX 30 microgrammes/0,5 ml, solution injectable, en stylo prérempli
AXELER 20 mg/5 mg, comprimé pelliculé
AXELER 40 mg/10 mg, comprimé pelliculé
AXELER 40 mg/5 mg, comprimé pelliculé
AXEPIM 0,5 g, poudre pour usage parentéral
AXEPIM 1 g, poudre pour usage parentéral
AXEPIM 2 g, poudre pour usage parentéral
AZACTAM 1 g, poudre et solution pour usage parentéral
AZADOSE 600 mg, comprimé pelliculé
AZANTAC 150 mg, comprimé effervescent
AZANTAC 150 mg, comprimé pelliculé
AZANTAC 300 mg, comprimé effervescent
AZANTAC 300 mg, comprimé pelliculé
AZANTAC 75 mg, comprimé effervescent
AZANTAC INJECTABLE 50 mg/2 ml, solution injectable en ampoule
AZARGA 10 mg/ml + 5 mg/ml, collyre en suspension
AZATHIOPRINE EG 50 mg, comprimé pelliculé
AZATHIOPRINE MYLAN 50 mg, comprimé pelliculé sécable
AZATHIOPRINE TEVA 50 mg, comprimé pelliculé
AZILECT 1 mg, comprimé
AZITHROMYCINE ARROW 250 mg, comprimé pelliculé
AZITHROMYCINE BIOGARAN 250 mg, comprimé pelliculé
AZITHROMYCINE CRISTERS 250 mg, comprimé pelliculé
AZITHROMYCINE EG 250 mg, comprimé pelliculé
AZITHROMYCINE EVOLUGEN 250 mg, comprimé pelliculé
AZITHROMYCINE KRKA 250 mg, comprimé pelliculé
AZITHROMYCINE MONODOSE SANDOZ 250 mg, comprimé pelliculé
AZITHROMYCINE MYLAN 250 mg, comprimé pelliculé
AZITHROMYCINE PFIZER 250 mg, comprimé pelliculé
AZITHROMYCINE PHR LAB 250 mg, comprimé pelliculé
AZITHROMYCINE QUALIMED 250 mg, comprimé pelliculé
AZITHROMYCINE RANBAXY 250 mg, comprimé pelliculé
AZITHROMYCINE RATIOPHARM 250 mg, comprimé pelliculé
AZITHROMYCINE SANDOZ 250 mg, comprimé pelliculé
AZITHROMYCINE TEVA 250 mg, comprimé pelliculé
AZITHROMYCINE ZENTIVA 250 mg, comprimé pelliculé
AZITHROMYCINE ZYDUS 250 mg, comprimé pelliculé
AZOPT 10 mg/ml, collyre en suspension
AZURITE BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
AZYTER 15 mg/g, collyre en solution en récipient unidose
AZZALURE, 10 unités Speywood/0,05 ml poudre pour solution injectable
Albumine humaine iodée [125 I], CIS bio international, solution injectable. [Réf : SERALB-125]
B O P, comprimé enrobé
B.A.L., solution injectable I.M.
BACICOLINE A LA BACITRACINE, poudre et solvant pour collyre en solution
BACILOR, gélule
BACILOR, poudre pour suspension buvable en sachet-dose
BACLOFENE AGUETTANT 0,05 mg/ml, solution injectable pour voie intrathécale en ampoule
BACLOFENE AGUETTANT 0,5 mg/ml, solution pour perfusion pour voie intrathécale en ampoule
BACLOFENE AGUETTANT 2 mg/ml, solution pour perfusion pour voie intrathécale en ampoule
BACLOFENE SUN 0,05 mg/ml, solution injectable
BACLOFENE SUN 10 mg/20 ml, solution pour perfusion
BACLOFENE SUN 10 mg/5 ml, solution pour perfusion
BACLOFENE ZENTIVA 10 mg, comprimé sécable
BACTERIX 200 mg, gélule
BACTRIM ADULTES, comprimé
BACTRIM FORTE, comprimé
BACTRIM NOURRISSONS ET ENFANTS, suspension buvable
BACTRIM, solution injectable pour perfusion
BACTROBAN 2 %, pommade nasale
BADIAGA COMPLEXE N°47, comprimé sublingual
BALSAMORHINOL, solution pour instillation nasale
BALSAMUM PERUVIANUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH
BALSOFUMINE MENTHOLEE 1 POUR CENT, solution pour inhalation par fumigation
BALSOFUMINE SIMPLE, solution pour inhalation par fumigation
BALSOLENE, solution pour inhalation par fumigation
BAMBUSA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
BAMBUSA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
BAPTISIA TINCTORIA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
BAPTISIA TINCTORIA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
BARACLUDE 0,05 mg/ml, solution buvable
BARACLUDE 0,5 mg, comprimé pelliculé
BARACLUDE 1 mg, comprimé pelliculé
BARITEKAL 20 mg/ml, solution injectable
BARYTA CARBONICA BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
BARYTA CARBONICA LEHNING, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
BARYTA CARBONICA WELEDA, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
BARYTA IODATA BOIRON, degré de dilution compris entre 4CH à 30CH et 8DH à 60DH
BARYTA MURIATICA BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
BARYTA MURIATICA LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
BASDENE 25 mg, comprimé
BASEAL 5 mg/g, gel
BAUME AGATHOL, pommade
BAUME AROMA, crème
BAUME CUROMAL, bâton pour application cutanée
BAUME DES PYRENEES, pommade
BAUME SAINT BERNARD, crème
BAYPRESS 10 mg, comprimé
BAYPRESS 20 mg, comprimé
BCG-MEDAC, poudre et solvant pour suspension pour administration intravésicale
BEAGYNE 150 mg, gélule
BEBEGEL, gel rectal en récipient unidose
BECILAN 250 mg, comprimé sécable
BECILAN 250 mg/5 ml, solution injectable
BECLO-RHINO 50 microgrammes/dose, suspension pour pulvérisation nasale en flacon
BECLOJET 250 microgrammes/dose, solution pour inhalation en flacon pressurisé
BECLOMETASONE TEVA 250 microgrammes/dose, solution pour inhalation en flacon pressurisé
BECLOMETASONE TEVA 50 microgrammes/dose, solution pour inhalation en flacon pressurisé
BECLOSPIN 400 microgrammes, suspension pour inhalation par nébuliseur
BECLOSPIN 800 microgrammes/2ml suspension pour inhalation par nébuliseur
BECLOSPRAY 250 microgrammes/dose, solution pour inhalation en flacon pressurisé
BECLOSPRAY 50 microgrammes/dose, solution pour inhalation en flacon pressurisé
BECONASE 50 microgrammes, suspension pour pulvérisation nasale en flacon pulvérisateur
BECOTIDE 250 microgrammes/dose, solution pour inhalation en flacon pressurisé
BECOZYME, comprimé enrobé
BECOZYME, solution injectable en ampoule
BEDELIX, poudre pour suspension buvable en sachet
BEFIZAL 200 mg, comprimé pelliculé
BEFIZAL L.P. 400 mg, comprimé enrobé à libération prolongée
BEFLAVINE 10 mg, comprimé enrobé
BELANETTE 0,02 mg/3 mg, comprimé pelliculé
BELARA 0,03 mg/2 mg, comprimé pelliculé
BELARACONTINU 0,03 mg/2 mg, comprimé pelliculé
BELIVAIR RHUME PELARGONIUM, comprimé pelliculé
BELLADONNA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
BELLADONNA FERRIER, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
BELLADONNA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
BELLADONNA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
BELLADONNA radix, décocté WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
BELLIS PERENNIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
BELLIS PERENNIS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
BELUSTINE 40 mg, gélule
BEMEDREX EASYHALER 200 microgrammes/dose, poudre pour inhalation
BEMFOLA 150 UI/0,25 ml, solution injectable en stylo prérempli
BEMFOLA 225 UI/0,375 ml, solution injectable en stylo prérempli
BEMFOLA 300 UI/0,50 ml, solution injectable en stylo prérempli
BEMFOLA 450 UI/0,75 ml, solution injectable en stylo prérempli
BEMFOLA 75 UI/0,125 ml, solution injectable en stylo prérempli
BENAZEPRIL ARROW 10 mg, comprimé pelliculé sécable
BENAZEPRIL ARROW 5 mg, comprimé pelliculé sécable
BENAZEPRIL EG 10 mg, comprimé pelliculé sécable
BENAZEPRIL EG 5 mg, comprimé pelliculé sécable
BENAZEPRIL HYDROCHLOROTHIAZIDE EG 10 mg/12,5 mg, comprimé pelliculé sécable
BENAZEPRIL HYDROCHLOROTHIAZIDE TEVA SANTE 10 mg/12,5 mg, comprimé pelliculé sécable
BENAZEPRIL MYLAN 10 mg, comprimé pelliculé sécable
BENAZEPRIL TEVA SANTE 10 mg, comprimé pelliculé sécable
BENAZEPRIL TEVA SANTE 5 mg, comprimé pelliculé sécable
BENAZEPRIL/HYDROCHLOROTHIAZIDE ARROW 10 mg/12,5 mg, comprimé pelliculé sécable
BENDAMUSTINE ACCORD 2,5 mg/mL, poudre pour solution à diluer pour perfusion
BENEFIX 1000 UI, poudre et solvant pour solution injectable
BENEFIX 2000 UI, poudre et solvant pour solution injectable
BENEFIX 250 UI, poudre et solvant pour solution injectable
BENEFIX 3000 UI, poudre et solvant pour solution injectable
BENEFIX 500 UI, poudre et solvant pour solution injectable
BENEMIDE 500 mg, comprimé sécable
BENEPALI 50 mg, solution injectable en seringue préremplie
BENEPALI 50 mg, solution injectable en stylo prérempli
BENERVA 100 mg/1 ml, solution injectable (IM) en ampoule
BENERVA 250 mg, comprimé enrobé
BENERVA 500 mg/5 ml, solution injectable (IM) en ampoule
BENLYSTA 120 mg, poudre pour solution à diluer pour perfusion
BENLYSTA 400 mg, poudre pour solution à diluer pour perfusion
BENZATHINE BENZYLPENICILLINE SANDOZ 1,2 MUI, poudre et solvant pour suspension injectable (IM)
BENZATHINE BENZYLPENICILLINE SANDOZ 2,4 MUI, poudre et solvant pour suspension injectable (IM)
BENZOICUM ACIDUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
BENZOICUM ACIDUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
BENZYDAMINE ACRAF 3 mg AROME ECALYPTUS, pastille
BENZYDAMINE ACRAF 3 mg AROME ORANGE-MIEL, pastille
BEPANTHEN 5 %, crème
BEPANTHEN 5 %, pommade
BEPANTHENE 100 mg, comprimé
BEPANTHENE 250 mg/ml, solution injectable I.M.
BERBERIS AQUIFOLIUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
BERBERIS AQUIFOLIUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
BERBERIS COMPLEXE N°83, solution buvable en gouttes
BERBERIS VULGARIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
BERBERIS VULGARIS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
BERINERT 500 UI, poudre et solvant pour solution injectable/perfusion
BERIPLAST Combi-set, poudres et solvants pour colle
BEROCCA SANS SUCRE, comprimé effervescent édulcoré à l'aspartam et à l'acésulfame de potassium
BEROCCA, comprimé pelliculé
BEROMUN 1 mg/5 ml, poudre et solvant pour solution pour perfusion
BETA ADALATE, gélule
BETADINE 10 %, solution vaginale en récipient unidose
BETADINE 10 POUR CENT, gel
BETADINE 10 POUR CENT, solution pour bain de bouche
BETADINE 10 POUR CENT, solution pour gargarisme ou solution pour bain de bouche en récipient unidose
BETADINE 10 POUR CENT, solution vaginale
BETADINE 250 mg, ovule
BETADINE 350 mg, compresse imprégnée
BETADINE 5 POUR CENT, solution pour irrigation oculaire en recipient unidose
BETADINE ALCOOLIQUE 5 %, solution pour application cutanée
BETADINE ALCOOLIQUE 5 %, solution pour application cutanée en récipient unidose
BETADINE DERMIQUE 10 %, solution pour application cutanée en récipient unidose
BETADINE DERMIQUE 10 POUR CENT, solution pour application locale
BETADINE SCRUB 4 %, solution pour application cutanée en récipient unidose
BETADINE SCRUB 4 POUR CENT, solution pour application cutanée (moussante)
BETADINE TULLE 10 POUR CENT, pansement médicamenteux
BETAFACT 100 UI/ml, poudre et solvant pour solution injectable
BETAFACT 50 UI/ml, poudre et solvant pour solution injectable
BETAFERON 250 microgrammes/ml, poudre et solvant pour solution injectable
BETAGAN 0,5 % , collyre en solution en récipient unidose
BETAGAN 0,5 POUR CENT, collyre en solution
BETAHISTINE ACCORD 8 mg, comprimé
BETAHISTINE ACTAVIS 24 mg, comprimé
BETAHISTINE ARROW 24 mg, comprimé
BETAHISTINE ARROW 8 mg, comprimé
BETAHISTINE BIOGARAN 24 mg, comprimé
BETAHISTINE BIOGARAN 8 mg, comprimé
BETAHISTINE BIPHAR 24 mg, comprimé
BETAHISTINE BIPHAR 8 mg, comprimé
BETAHISTINE BOUCHARA RECORDATI 8 mg, comprimé
BETAHISTINE EG 24 mg, comprimé
BETAHISTINE EG 8 mg, comprimé
BETAHISTINE MYLAN 24 mg, comprimé
BETAHISTINE MYLAN 8 mg, comprimé
BETAHISTINE QUALIMED 24 mg, comprimé
BETAHISTINE QUALIMED 8 mg, comprimé
BETAHISTINE RANBAXY 24 mg, comprimé
BETAHISTINE RATIOPHARM 24 mg, comprimé
BETAHISTINE RATIOPHARM 8 mg, comprimé
BETAHISTINE RPG 8 mg, comprimé
BETAHISTINE SANDOZ 24 mg, comprimé
BETAHISTINE TEVA 24 mg, comprimé
BETAHISTINE ZENTIVA 24 mg, comprimé
BETAHISTINE ZENTIVA 8 mg, comprimé
BETAHISTINE ZYDUS 8 mg, comprimé
BETAHISTINE ZYDUS FRANCE 24 mg, comprimé
BETAHISTINE ZYDUS FRANCE 8 mg, comprimé
BETAMETHASONE ARROW 0,05 %, solution buvable en gouttes
BETAMETHASONE ARROW 2 mg, comprimé dispersible sécable
BETAMETHASONE BIOGARAN 0,05 POUR CENT, solution buvable en gouttes
BETAMETHASONE BIOGARAN 2 mg, comprimé dispersible sécable
BETAMETHASONE EG 0,05 POUR CENT, solution buvable en gouttes
BETAMETHASONE EG 2 mg, comprimé dispersible sécable
BETAMETHASONE ZENTIVA 0,05 %, solution buvable en gouttes
BETAMETHASONE ZENTIVA 2 mg, comprimé dispersible sécable
BETANOL 0,6 POUR CENT, collyre
BETASELEN, gélule
BETASERC 24 mg, comprimé
BETATOP 100 mg, comprimé pelliculé sécable
BETATOP 50 mg, comprimé pelliculé sécable
BETAXOLOL BIOGARAN 20 mg, comprimé pelliculé sécable
BETAXOLOL EG 20 mg, comprimé pelliculé sécable
BETAXOLOL MYLAN 20 mg, comprimé pelliculé sécable
BETAXOLOL SANDOZ 20 mg, comprimé pelliculé sécable
BETAXOLOL TEVA SANTE 20 mg, comprimé pelliculé sécable
BETESIL 2,25 mg, emplâtre médicamenteux
BETMIGA 25 mg, comprimé à libération prolongée
BETMIGA 50 mg, comprimé à libération prolongée
BETNESOL 0,50 mg, comprimé effervescent
BETNESOL 4 mg/1 ml, solution injectable
BETNESOL 5 mg/100 ml, solution rectale en poche
BETNEVAL 0,1 POUR CENT, crème
BETNEVAL 0,1 POUR CENT, pommade
BETNEVAL LOTION 0,1 %, émulsion pour application cutanée
BETOPTIC 0,25 POUR CENT, suspension ophtalmique
BETOPTIC 0,25 POUR CENT, suspension ophtalmique en récipient unidose
BETOPTIC 0,5 POUR CENT, collyre
BETULA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
BETULA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
BEVITINE 100 mg/2 ml, solution injectable en ampoule
BEVITINE 250 mg, comprimé enrobé
BEXSERO suspension injectable en seringue préremplie. Vaccin méningococcique groupe B (ADNr, composant, adsorbé)
BI CITROL, granulé en sachet-dose
BI MISSILOR 1,5 M.U.I./250 mg, comprimé pelliculé
BI PROFENID LP 100 mg, comprimé sécable à libération prolongée
BI TILDIEM L.P. 90 mg, comprimé enrobé à libération prolongée
BI TILDIEM LP 120 mg, comprimé enrobé à libération prolongée
BI-QUI-NOL ADULTES, suppositoire
BI-QUI-NOL ENFANTS, suppositoire
BIAFINE, émulsion pour application cutanée
BIAFINEACT, émulsion pour application cutanée
BICAFLAC ELECTROLYTES SOLUTION AVEC POTASSIUM 2 mmol/l, solution pour hémofiltration
BICAFLAC ELECTROLYTES SOLUTION SANS POTASSIUM, solution pour hémofiltration
BICAFLAC SOLUTION TAMPON, solution pour hémofiltration
BICALUTAMIDE ACCORD 50 mg, comprimé pelliculé
BICALUTAMIDE ALMUS 50 mg, comprimé pelliculé
BICALUTAMIDE ALTER 50 mg, comprimé pelliculé
BICALUTAMIDE ARROW 50 mg, comprimé pelliculé
BICALUTAMIDE ARROW LAB 50 mg, comprimé pelliculé
BICALUTAMIDE BIOGARAN 50 mg, comprimé pelliculé
BICALUTAMIDE CRISTERS 50 mg, comprimé pelliculé
BICALUTAMIDE EG 50 mg, comprimé pelliculé
BICALUTAMIDE EVOLUGEN 50 mg, comprimé pelliculé
BICALUTAMIDE HEXAL 50 mg, comprimé pelliculé
BICALUTAMIDE ISOMED 50 mg, comprimé pelliculé
BICALUTAMIDE KABI 50 mg, comprimé pelliculé
BICALUTAMIDE MYLAN 50 mg, comprimé pelliculé
BICALUTAMIDE MYLAN PHARMA 50 mg, comprimé pelliculé
BICALUTAMIDE PHR LAB 50 mg, comprimé pelliculé
BICALUTAMIDE RANBAXY 50 mg, comprimé pelliculé
BICALUTAMIDE RATIOPHARM 50 mg, comprimé pelliculé
BICALUTAMIDE SANDOZ 50 mg, comprimé pelliculé
BICALUTAMIDE TEVA 50 mg, comprimé pelliculé
BICALUTAMIDE ZENTIVA 50 mg, comprimé pelliculé
BICALUTAMIDE ZYDUS 50 mg, comprimé pelliculé
BICALUTAMIDE ZYDUS FRANCE 50 mg, comprimé pelliculé
BICARBONATE DE SODIUM 1,4 POUR CENT (0,14 g/10 ml) RENAUDIN, solution injectable en ampoule
BICARBONATE DE SODIUM 1,4 POUR CENT (0,28 mg/20 ml) RENAUDIN, solution injectable en ampoule
BICARBONATE DE SODIUM 1,4 POUR CENT AGUETTANT, solution pour perfusion
BICARBONATE DE SODIUM 4,2 POUR CENT (0,42 g/10 ml) RENAUDIN, solution injectable en ampoule
BICARBONATE DE SODIUM 4,2 POUR CENT B. BRAUN, solution pour perfusion
BICARBONATE DE SODIUM A 1,4 % B.BRAUN, solution pour perfusion en flacon
BICARBONATE DE SODIUM A 1,4 % BIOSEDRA, solution pour perfusion
BICARBONATE DE SODIUM B.BRAUN 8,4 POUR CENT, solution pour perfusion
BICARBONATE DE SODIUM BAXTER A 1,4 POUR CENT, solution injectable pour perfusion en poche
BICARBONATE DE SODIUM COOPER 1,4 %, solution pour perfusion en flacon
BICARBONATE DE SODIUM COOPER 1,4 POUR CENT (0,14 g/10 ml), solution pour perfusion en ampoule
BICARBONATE DE SODIUM COOPER A 4,2 POUR CENT, solution injectable (IV) en ampoule
BICARBONATE DE SODIUM LAVOISIER 1,4 POUR CENT, solution pour perfusion
BICARBONATE DE SODIUM RENAUDIN 8,4 % (84 mg/ml), solution injectable en ampoule
BICARBONATE DE SODIUM VIAFLO 1,4 %, solution pour perfusion
BICAVERA 1,5 % GLUCOSE, 1,75 mmol/l calcium, solution pour dialyse péritonéale
BICAVERA 2,3 % GLUCOSE, 1,75 mmol/l calcium, solution pour dialyse péritonéale
BICAVERA 4,25 % GLUCOSE, 1,75 mmol/l calcium, solution pour dialyse péritonéale
BICIRKAN, comprimé pelliculé
BICNU, poudre et solvant pour solution pour perfusion
BIFLUORID, suspension pour usage dentaire
BIGONIST 6,3 mg, implant injectable pour voie sous cutanée
BILASKA 20 mg, comprimé
BILTRICIDE 600 mg, comprimé pelliculé quadrisécable
BINOCRIT 10 000 UI/1 ml, solution injectable en seringue pré-remplie
BINOCRIT 1000 UI/0,5 ml, solution injectable en seringue pré-remplie
BINOCRIT 20 000 UI/0,5 ml, solution injectable en seringue préremplie
BINOCRIT 2000 UI/1 ml, solution injectable en seringue pré-remplie
BINOCRIT 30 000 UI/0,75 ml, solution injectable en seringue préremplie
BINOCRIT 3000 UI/0,3 ml, solution injectable en seringue pré-remplie
BINOCRIT 40 000 UI/ml, solution injectable en seringue préremplie
BINOCRIT 4000 UI/0,4 ml, solution injectable en seringue pré-remplie
BINOCRIT 5000 UI/0,5 ml, solution injectable en seringue pré-remplie
BINOCRIT 6000 UI/0,6 ml, solution injectable en seringue pré-remplie
BINOCRIT 8000 UI/0,8 ml, solution injectable en seringue pré-remplie
BIOCADEXTRO 1 mg/ml ENFANTS SANS SUCRE, sirop édulcoré à la saccharine sodique et au maltitol
BIOCALYPTOL 6,55 mg/5 ml SANS SUCRE, sirop édulcoré à la saccharine sodique et au maltitol liquide
BIOCALYPTOL, sirop
BIOCARDE, solution buvable
BIOCIDAN 0,1 mg/0,4 ml, collyre en récipient unidose
BIOCIDAN 0,25 POUR MILLE, collyre
BIOCIDAN, solution pour pulvérisation nasale
BIODALGIC 50 mg, comprimé effervescent
BIOGAZE, compresse imprégnée
BIOMAG AGRUMES, comprimé à croquer
BIONOLYTE G10, solution pour perfusion
BIONOLYTE G5, solution injectable pour perfusion
BIONOLYTE G5, solution pour perfusion
BIOPEG, solution buvable pour coloscopie
BIORGASEPT 0,5 %, solution pour application cutanée
BIOTINE BAYER 0,5 POUR CENT, solution injectable I.M.
BIOTINE BAYER 5 mg, comprimé
BIOTONE, solution buvable en ampoule
BIOXYOL, pâte pour application cutanée
BIPERIDYS 20 mg, comprimé pelliculé sécable
BIPERIDYSFLASH 20 mg, comprimé orodispersible
BIPRETERAX 10 mg/2,5 mg, comprimé pelliculé
BIPRETERAX 10 mg/2,5 mg, comprimé pelliculé
BIPRETERAX 10 mg/2,5 mg, comprimé pelliculé
BIPRETERAX 5 mg/1,25 mg, comprimé pelliculé
BIRODOGYL, comprimé pelliculé
BISEPTINE, solution pour application locale
BISEPTINESCRUB, solution pour application cutanée
BISEPTINESPRAID, solution pour application cutanée
BISMUTH OLIGOSOL, solution buvable en ampoule
BISMUTHUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
BISMUTHUM LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
BISMUTHUM WELEDA, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
BISOCE 1,25 mg, comprimé pelliculé
BISOCE 10 mg, comprimé pelliculé sécable
BISOCE 2,5 mg, comprimé pelliculé sécable
BISOCE 3,75 mg, comprimé pelliculé sécable
BISOCE 5 mg, comprimé pelliculé sécable
BISOCE 7,5 mg, comprimé pelliculé sécable
BISOLVON 8 mg, comprimé
BISOPROLOL ACCORD HEALTHCARE 10 mg, comprimé pelliculé sécable
BISOPROLOL ACCORD HEALTHCARE 2,5 mg, comprimé pelliculé sécable
BISOPROLOL ACCORD HEALTHCARE 5 mg, comprimé pelliculé sécable
BISOPROLOL ACTAVIS 2,5 mg, comprimé sécable
BISOPROLOL ACTAVIS 5 mg, comprimé sécable
BISOPROLOL ACTAVIS FRANCE 10 mg, comprimé sécable
BISOPROLOL ALMUS 10 mg, comprimé sécable
BISOPROLOL ARROW 10 mg, comprimé pelliculé sécable
BISOPROLOL ARROW LAB 10 mg, comprimé pelliculé sécable
BISOPROLOL BGR 1,25 mg, comprimé pelliculé
BISOPROLOL BGR 10 mg, comprimé pelliculé sécable
BISOPROLOL BGR 2,5 mg, comprimé pelliculé sécable
BISOPROLOL BGR 3,75 mg, comprimé pelliculé sécable
BISOPROLOL BGR 5 mg, comprimé pelliculé sécable
BISOPROLOL BGR 7,5 mg, comprimé pelliculé sécable
BISOPROLOL BIOGARAN 10 mg, comprimé pelliculé sécable
BISOPROLOL CRISTERS 1,25 mg, comprimé
BISOPROLOL CRISTERS 10 mg, comprimé sécable
